taxonID	scientificName	old_page_id	new_page_id	status
86c39e57-895f-3527-862a-666e509b1a6a	Frasera Walter	10001155		skip:unparseable_collation:87 (-88)
0019547d-76de-362f-b63c-0a238ba66ee0	Begonia postarii Kiew		43660462	ok
dd3b74a7-65f4-3c79-99ad-ff9fec3f4b31	Phlox adsurgens Torr. ex A.Gray		3071549	ok
231f0832-ffd8-3ca7-86c2-f8c3d3ebdcd0	Exacum quinquenervium Griseb.	35366478		skip:unparseable_collation:112
c0801bf1-3c0c-34eb-9c55-397907675b3f	Exacum pteranthum Wall.	33066379		skip:unparseable_collation:n. 4360
73af8ac3-e954-3d1a-a9f9-a628ce341d11	Sabatia campestris Nutt.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1836&rft.volume=5&rft.spage=197&rft_id=https://www.biodiversitylibrary.org/bibliography/41515&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
ed4fecb0-5462-3913-9c3e-40b35d92ba6e	Anthocleista grandiflora Gilg	202900		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1893&rft.volume=17&rft.spage=582&rft_id=https://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
f549703a-9037-3909-9d52-d7d79726636d	Voyria aphylla (Jacq.) Pers.	235069		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1805&rft.volume=1&rft.spage=284&rft_id=https://www.biodiversitylibrary.org/bibliography/638&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
315e7fd9-9a71-311b-bd65-cf1d027e37d1	Symbolanthus calygonus (Ruiz & Pav.) Griseb.	162447		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1845&rft.volume=9&rft.spage=80&rft_id=https://www.biodiversitylibrary.org/bibliography/286&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
28658253-8ea3-3f8b-86fc-bccc735c85f4	Microdesmis Planch.			skip:unparseable_collation:8: t. 758
f0766247-3ceb-3284-82c7-489bbe76dbbd	Swertia angustifolia Buch.-Ham. ex D.Don	33120800		skip:unparseable_collation:127.
b46660ac-ed09-3e27-9d37-2df1fbf76488	Voyria spruceana Benth.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1854&rft.volume=6&rft.spage=197&rft_id=https://www.biodiversitylibrary.org/bibliography/236&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
0062e26f-ccf4-3f37-ad46-c58b8e7ec8bf	Canscora Lam.	33068974		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1785&rft.volume=1&rft.spage=601&rft_id=https://www.biodiversitylibrary.org/bibliography/824&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
340a7d56-c0e1-3a42-995e-921e5bef143d	Voyria caerulea Aubl.	33120210		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1775&rft.volume=1&rft.spage=211&rft_id=https://www.biodiversitylibrary.org/bibliography/674&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
aa79c827-c40c-30ae-944a-8a50e04233b6	Lisianthius quichensis Donn.Sm.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1911&rft.volume=52&rft.spage=51&rft_id=https://www.biodiversitylibrary.org/bibliography/9540&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
53494252-64c8-3162-b7cf-e110a16be022	Halenia weddelliana Gilg			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.volume=25&rft.spage=724&rft_id=https://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
9f886a4c-0c1b-3728-9304-4ab7a0d713af	Macrocarpaea sodiroana Gilg			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1898&rft.volume=25&rft.spage=724&rft_id=https://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
0f5abc63-9da3-3495-a53b-381b639197e0	Quintinia major (Baill.) Schltr.	189649		skip:unparseable_collation:52(1-2): 125
d5e59fea-ec6b-33cd-871a-3f6a07c4bdf5	Psychotria cyanococca			skip:unparseable_collation:9: t. 479
08ebab42-f93f-3093-a665-5ea3813429c5	Aloe cameronii Hemsl.	33120709		skip:unparseable_collation:129: t. 7915
8c2502d6-39d7-3110-8513-00761a1447eb	Salvia pomifera L.	33355180		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1753&rft.volume=1&rft.spage=24&rft_id=https://www.biodiversitylibrary.org/bibliography/669&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
e43a8c28-76f2-3d6e-9e6b-f7280c975cea	Salvia spathacea Greene	33121127		skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1892&rft.volume=2&rft.spage=236&rft_id=https://www.biodiversitylibrary.org/bibliography/15369&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
5b01285d-1d16-35d1-b532-5245db132eb9	Endiandra monticola A.C.Sm.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.volume=141&rft.spage=71&rft_id=https://www.biodiversitylibrary.org/bibliography/43919&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
9927b2b1-d6fa-3232-b9cb-f809e90473c8	Symbolanthus mathewsii (Griseb.) Ewan		34567297	ok
74da12b7-9346-3e39-99d4-70f10fe620e1	Loeseliastrum matthewsii (A.Gray) Timbrook			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1986&rft.volume=33&rft.spage=171&rft_id=https://www.biodiversitylibrary.org/bibliography/65344&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
0b44008c-a40b-32c5-a48d-7b9aff594ca1	Salvia semiatrata Zucc.		11355558	ok
c949419a-6170-3e37-8ae2-214d56c35a2e	Gentianella rapunculoides (Willd. ex Schult.) J.S.Pringle		13053290	ok
5bbfdfcf-076b-3b52-afdc-36a732a31cdf	Paulownia tomentosa (Thunb.) Steud.	33334048	392355	ok
2fecd1ef-98ba-38b0-82e6-8ea6bd2b0bc1	Orthocarpus imbricatus Torr. ex S.Watson	33066443		skip:unparseable_collation:458
86074d63-4750-3f52-9a81-8358eb083046	Begonia villifolia Irmsch.			skip:no_page_redirect:https://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1951&rft.volume=21&rft.spage=43&rft_id=https://www.biodiversitylibrary.org/bibliography/43948&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004
